"","map","position","target"
"108","..##.#.....#.##.#.#.#..#.......",15,"#"
"109","..#...#.......#.###............",16,"."
"110",".#...#..#....#...#...#..#....##",17,"."
"111",".....#.....#...................",18,"."
"112",".......................#......#",19,"."
"113","......#...##.........#...#..#..",20,"."
"114",".....#..#.....#..............#.",21,"."
"115",".#.##..#..#....................",22,"."
"116","....#..#...#....#.............#",23,"."
"117","..###..#...#......#.....#......",24,"."
"118","..#......###....#.....#.....###",25,"."
"119","...#.##..#...#.....#........#..",26,"."
"120",".#.#...........##....#...#.##..",27,"."
"121",".......#...##......#..#..#.....",28,"."
"122","#.............#..#...##.#..#..#",29,"."
"123","..........#......#.......#.....",30,"."
"124","...............#.#.#....#...#..",31,"."
"125","#.......#.#..#.....#........#..",1,"#"
"126",".#.#.#.......#..#.........##...",2,"#"
"127","......#.....#.#....#...........",3,"."
"128","..#.....##.#........##.#......#",4,"."
"129","...###...#..#.........#........",5,"#"
"130","....#...................#..#...",6,"."
"131",".##........#...................",7,"."
"132","....#..#...........#.#.........",8,"#"
"133",".....#.......#...#....#.#......",9,"."
"134",".........#...#.......#.#...#...",10,"#"
"135",".......#.#..#....#....#.......#",11,"."
"136","..#.............#..............",12,"."
"137",".#...#..#.#.#..#............#..",13,"#"
"138","...#.##.##..#..#...........##..",14,"."
"139","...........#...#..#.#........#.",15,"."
"140","....#...#.....#...#.#....#...#.",16,"."
"141",".......#.#...##..#.............",17,"."
"142",".......................#....#..",18,"."
"143","..#..#.....#...........#....#..",19,"."
"144",".#..#...#.##........##....#....",20,"."
"145","#.....##.#.#.......#.....#...#.",21,"."
"146",".#....#.......................#",22,"."
"147","#..##..###...#.........#.......",23,"."
"148","..##...#...#..........#....#...",24,"."
"149","......#..##......##.#.........#",25,"."
"150","................#........#..#..",26,"#"
"151",".....#.#..#.....#.......#..#...",27,"."
"152","..#..#.....#.......#..#..#...#.",28,"."
"153",".#....#...#...#......##.....#..",29,"#"
"154","....#........#...#......##....#",30,"."
"155","..#..........##......#......#..",31,"."
"156","#.#.....#.....#.......#........",1,"#"
"157","...#...#......#....##.#..#...##",2,"."
"158","...#....#...#.#...........##...",3,"."
"159","#....##...#...#....#...........",4,"."
"160","...#.#..#...#..............##..",5,"."
"161","#..#..........##.#.#.....#.....",6,"."
"162","..#...#.........#.#..........#.",7,"#"
"163","....#.....#..........#.........",8,"."
"164","........................#......",9,"."
"165",".#.....#.#...###...#....#......",10,"#"
"166","....##....#....#..#.##........#",11,"#"
"167","..#........#.........#.......#.",12,"#"
"168",".....#.#......#...#...#........",13,"."
"169","........#..#.....#....###....#.",14,"."
"170","...........#..#.#....#.#....##.",15,"#"
"171",".......#.....##.#............#.",16,"."
"172","...............#........##.##..",17,"."
"173",".............#...##......#...#.",18,"#"
"174","#...##.#.......#......###.....#",19,"."
"175","..........#...#........#..#....",20,"."
"176","....#....................#...#.",21,"."
"177",".#......#...#.......#....#.#...",22,"."
"178","....#.......................#..",23,"."
"179","#...#...#...#.##....##.........",24,"."
"180","..........#.#...##.#...#.......",25,"."
"181","..#...............#....#..#...#",26,"."
"182","#..#..#...#..#.........#...#...",27,"."
"183",".....#..#..........#.##.#..##..",28,"#"
"184","........#......##.....#........",29,"."
"185",".#....#.#.........#...#..#.#...",30,"."
"186","....#..............##..........",31,"."
"187","#...............#..............",1,"#"
"188","..###.........#....##.........#",2,"."
"189",".........#.#....##........#...#",3,"."
"190","....#.#..#......#...#..........",4,"."
"191","...#.#.....#....#..#....#.#..#.",5,"."
"192","............#..#.....#...##....",6,"."
"193","...........#....#.#.#...#......",7,"."
"194","#...............#....###.......",8,"."
"195",".........#.....##.#..#..#......",9,"."
"196","...#...##...###...............#",10,"."
"197",".#......#.#.#.................#",11,"#"
"198",".........##..#............#....",12,"."
"199","..#..#.....#.....#.#...........",13,"."
"200",".#......##............#.#....#.",14,"."
"201",".#.##..##.##..#.........#.....#",15,"#"
"202","...##.##......##.##......#.....",16,"#"
"203","##.....#.#...#...#...#..#......",17,"."
"204","....................#......#...",18,"."
"205",".....#.................#...###.",19,"."
"206","...........#..#.........#.#....",20,"."
"207","...#........#..#........#....#.",21,"."
"208","#................#......###...#",22,"."
"209",".............##.#.....#.#......",23,"#"
"210","...#...#.##..#........##.......",24,"#"
"211","#..#.##...#....#.#.............",25,"."
"212",".#.........#.#..#...........#..",26,"."
"213","....#...#.....#.#..........#...",27,"."
"214",".#.#....###.......##.....#.##..",28,"#"
"215",".##....##......#......#.#....#.",29,"."
"216","..#...#.#........#...#..##.....",30,"."
"217","..............###..........##..",31,"."
"218","#....#..##.....#.....#.....#...",1,"#"
"219","...#...#....................#..",2,"."
"220",".#....#.#.....#.#..#..##.......",3,"."
"221","#...##..###......#.............",4,"."
"222","..........#.#....##.#........##",5,"."
"223","..#..#.....#...#....#.#.#......",6,"#"
"224","#.....#........#..##.#.........",7,"#"
"225","....#.....#..........##......#.",8,"."
"226","......#..#.....#........#.....#",9,"."
"227",".....#..#....#...........#.##..",10,"."
"228",".#....................#....#..#",11,"."
"229","........#..#...........#.......",12,"#"
"230","#....#.#.......#........#.#..#.",13,"."
"231","........#.....#...#............",14,"."
"232","..#........#........#....#...#.",15,"."
"233",".....##.......#..#..........#..",16,"."
"234","......#.#......###...#....##..#",17,"#"
"235",".#..#.............#.#..........",18,"."
"236","#.....##.#.#.#.#.#.....#.....#.",19,"."
"237",".#..#.....#.......#.#.....#....",20,"."
"238","###....##...#.#...#..#......###",21,"."
"239",".#................#.....#.##...",22,"."
"240","....##....#.#........###.#.#...",23,"#"
"241","#.#....#........#.....#.......#",24,"."
"242","..........#..........#.##...#..",25,"#"
"243","....#....#..##......#..#.......",26,"."
"244",".....#..........#.##...........",27,"."
"245","##......#.#......#.##..........",28,"."
"246","##..........##.......##........",29,"."
"247","..#.....#....#.##..#..#..#.....",30,"."
"248","......###...#...........#...###",31,"#"
"249","#..#.............##............",1,"#"
"250","...#.###.....#..#.........#.#..",2,"."
"251","......#...............#...#.#..",3,"."
"252",".....#...##.#...#.....#.#..#...",4,"."
"253","..#..#.#....#.#................",5,"."
"254","...............##.....#........",6,"."
"255","......#.#.....#...#.........#..",7,"#"
"256","........#..#...#.#...#......#..",8,"."
"257","#...........#.......#...##...#.",9,"."
"258","........#.#...#..##..#.#...#...",10,"."
"259","..#....#...#......#..........##",11,"."
"260","..#..............##...##.#.....",12,"."
"261","...#....#..#....##.........#.#.",13,"."
"262",".#.#....#..........#.......#...",14,"."
"263","...##....#.#....#....#.#...#...",15,"."
"264","..............#..##........#..#",16,"."
"265","..........#.#...##......#..#.#.",17,"#"
"266","#...##..#......................",18,"."
"267",".......#........##.#.#.#.......",19,"."
"268",".........##..#.#.......####....",20,"."
"269","..#.............#..#........##.",21,"."
"270","##..#..#...#....#.....#...#..#.",22,"."
"271","..#.#...#.#.....#..............",23,"."
"272","..#....#....#..##...#.#........",24,"."
"273","##.....#..#...#................",25,"."
"274","#....#.....................#...",26,"."
"275","..............###.....#.#.#....",27,"#"
"276","..#......##.#....#.#...##......",28,"."
"277","#...#.#......#...#.#......#....",29,"."
"278","....#...................##.#...",30,"."
"279",".........##......#.....#.####..",31,"."
"280","##..#........#.....#......##..#",1,"#"
"281","...#..#...#...#.............#..",2,"."
"282","#..#..#.#......###...#.........",3,"."
"283",".......#.#..#........#....##..#",4,"."
"284","............#..##.....#.#.#....",5,"."
"285","#..#.....#.....#....##........#",6,"."
"286","......#..........##............",7,"#"
"287",".....#...#...........#.........",8,"."
"288","...........#....#...#....#.#...",9,"."
"289","....#.........##.##.......#....",10,"."
"290","......#....#...........#.##...#",11,"."
"291",".##.#.#..##...#.....##.#...#...",12,"."
"292",".......#.#....#...#...#....#...",13,"."
"293",".#...##.#.#.....#..#....#......",14,"."
"294",".#....###..#.......#......#...#",15,"."
"295","..#.#.........#.........#.....#",16,"."
"296",".......#.#.##..#.#.......##..#.",17,"."
"297",".##............#.........#....#",18,"."
"298",".#...##.###..#........##.#..#..",19,"."
"299","..#........#.#.....##..##.#....",20,"#"
"300","...........#...........#.....#.",21,"."
"301",".#...######..##...#.....#......",22,"."
"302",".#.##.#.......#......#......#..",23,"."
"303",".#.....#.....#........#........",24,"."
"304","...#..#...#.##...#...........#.",25,"."
"305",".......#.....#.......#.........",26,"."
"306","............#...###...........#",27,"."
"307","...#.......#.......##....#..#..",28,"."
"308","##.......#....#....####........",29,"."
"309",".......#.#......#..........#..#",30,"."
"310","#.....##..#..#.....#....#...#..",31,"."
"311","#............#........##.......",1,"#"
"312",".#.#...#.............#..##.....",2,"#"
"313",".#....#..#.#......#.##.......##",3,"."
"314","...................##...##..###",4,"."
"315","..#.....#...#................#.",5,"."
"316","..#...#....#...#.#.#...#.....#.",6,"."
"317",".....#............#....#...#..#",7,"."
"318",".#.....#....#..#......#.#.....#",8,"#"
"319","............#.#.....####.##....",9,"."
"320","....#......###....#...#....#...",10,"."
"321","#.....#..#.....#..#...#.......#",11,"."
"322","..#.#...#....#....##..#...##...",12,"."
"323",".##..#..#..##....##...#........",13,"#"
